id,xpos,ypos,stoppoint
n_id0,0.0,0.7460551713965156,-1
n_id1,0.0126343081892253,0.7004681764798582,-1
n_id2,0.0131726395816438,0.6986874467123556,-1
n_id3,0.0294214585484915,0.6965505722041222,-1
n_id4,0.0515589637670015,0.6965505722041222,-1
n_id5,0.0645777943793863,0.7011804686441312,-1
n_id6,0.0934059897607464,0.7161386380566591,-1
n_id7,0.1259585594691546,0.7385760137466721,-1
n_id8,0.1489200413086966,0.7481920765589124,-1
n_id9,0.6836588956515752,0.6677028958565566,-1
n_id10,0.656555557996969,0.6937014082521114,-1
n_id11,0.638384126914384,0.7111525743811256,11
n_id12,0.6090835182702947,0.7421375153674263,-1
n_id13,0.0575904726330187,0.6815924876994264,-1
n_id14,0.059205466810238,0.6755380433558729,-1
n_id15,0.0529762035551769,0.6445537003527124,-1
n_id16,0.0774208433125958,0.6335133694948394,-1
n_id17,0.0881874711608089,0.6331572303775951,-1
n_id18,0.1398672848322367,0.7389321637429349,-1
n_id19,0.1388675265320413,0.7350145158008099,-1
n_id20,0.1192349102414599,0.7204124126546766,-1
n_id21,0.092878644723244,0.7001120304527666,-1
n_id22,0.0817165080969674,0.6929891176316401,-1
n_id23,0.0751796269033883,0.6890715218472379,-1
n_id24,0.0632923908505412,0.6837293529448487,-1
n_id25,0.0403199226560712,0.6780310485636927,-1
n_id26,0.0316736613126512,0.6758941868475047,-1
n_id27,0.0092065654457067,0.6712643243330287,-1
n_id28,0.1194216782755877,0.6716204673826065,-1
n_id29,0.1355057019182241,0.6228292119735994,-1
n_id30,0.1474808288106287,0.5868594581287419,-1
n_id31,0.1759025290588887,0.7428498161331232,-1
n_id32,0.1775065368811919,0.7382198637868238,-1
n_id33,0.1551163454988889,0.7289599777295139,-1
n_id34,0.1324954406626975,0.7104402801581677,-1
n_id35,0.1319571092702791,0.7086595452448001,-1
n_id36,0.1324954406626975,0.7058103712949151,-1
n_id37,0.1439212498077555,0.6716204673826065,-1
n_id38,0.2441497659906343,0.6666344680310213,38
n_id39,0.2008635274988335,0.7891496812586078,-1
n_id40,0.1837358001362409,0.6424168593652191,-1
n_id41,0.2708795675770575,0.6780310485636927,-1
n_id42,0.3081013381380084,0.587571726842978,-1
n_id43,0.2938520357715878,0.6224730739585262,-1
n_id44,0.288721408011232,0.6352940656306648,-1
n_id45,0.2860627101140566,0.641704579330334,-1
n_id46,0.2835138757662949,0.6477589643141555,-1
n_id47,0.2804706554459358,0.6552379251343425,-1
n_id48,0.2266155434949778,0.8023274487430426,-1
n_id49,0.2982026323306482,0.8379432883381124,-1
n_id50,0.3130781569290811,0.8212037979442119,-1
n_id51,0.3184285117883491,0.8133683197037657,-1
n_id52,0.320746632682186,0.8101629019138573,-1
n_id53,0.3300740480323554,0.798409728829095,-1
n_id54,0.3303926523257895,0.7976974165953978,-1
n_id55,0.344367295818609,0.7716981206886413,-1
n_id56,0.3522335259607336,0.7467674729701043,-1
n_id57,0.358276021181667,0.712221015990364,-1
n_id58,0.3581551712772648,0.7026050534130376,-1
n_id59,0.3579903759530777,0.6890715218472379,-1
n_id60,0.3353474984069576,0.7400006139531738,-1
n_id61,0.3087934784996979,0.7296722757747152,-1
n_id62,0.2911164333896985,0.7246861925446402,-1
n_id63,0.2888092988508258,0.7239738955292048,-1
n_id64,0.2817560589747568,0.7250423411084616,-1
n_id65,0.2757794818835248,0.7286038287621701,-1
n_id66,0.2705060315088743,0.7332337682063339,-1
n_id67,0.2665289710179971,0.7410690644953766,-1
n_id68,0.2655621717826342,0.7474797746910444,-1
n_id69,0.265814857946403,0.7531781937526283,-1
n_id70,0.2684735558436388,0.7613696876383501,-1
n_id71,0.2713519808398228,0.7677804355474969,-1
n_id72,0.2935004724132248,0.7873689057283468,-1
n_id73,0.3304256113906462,0.8286831346814227,-1
n_id74,0.3592757794818625,0.8140806351711478,-1
n_id75,0.3654830700270191,0.8147929507879983,-1
n_id76,0.3775460877589813,0.8162175824595193,-1
n_id77,0.3976071718925071,0.8169298985167301,-1
n_id78,0.4055722792291657,0.8165737404699175,-1
n_id79,0.4150644899035342,0.8151491086501983,-1
n_id80,0.4232712970490576,0.8133683197037657,-1
n_id81,0.4304344004745887,0.8112313741797997,-1
n_id82,0.4385862758454111,0.8083821155405688,-1
n_id83,0.4516380655226045,0.8030397619319831,-1
n_id84,0.4623277888862003,0.798409728829095,-1
n_id85,0.4671288259981215,0.795916636653488,-1
n_id86,0.4720397266594688,0.7934235462803946,-1
n_id87,0.4766320230273699,0.7909304577072742,-1
n_id88,0.4811254422007733,0.7884373709358206,-1
n_id89,0.4845312122343754,0.786656595773938,-1
n_id90,0.4951550174683059,0.782738893650973,-1
n_id91,0.5046472281426262,0.7795335043125793,-1
n_id92,0.5133484212607833,0.7756158102770021,-1
n_id93,0.520181934037928,0.7716981206886413,-1
n_id94,0.5252686163784388,0.7681365885576876,-1
n_id95,0.5292127178044593,0.7649312127840873,-1
n_id96,0.5332886554898826,0.7613696876383501,-1
n_id97,0.537990815407282,0.7563835586095256,-1
n_id98,0.5437916108193265,0.7496166807367024,-1
n_id99,0.5474280943068532,0.7439182675560467,-1
n_id100,0.549834106040296,0.7385760137466721,-1
n_id101,0.5537672211113522,0.7268230844754779,-1
n_id102,0.5362220122607435,0.8322447293003608,-1
n_id103,0.5332447100700978,0.829751612680942,-1
n_id104,0.5288611544461566,0.8272584978619196,-1
n_id105,0.5237964448155141,0.8265461796736185,-1
n_id106,0.517347454461565,0.8279708161979955,-1
n_id107,0.4895739491551374,0.8347378477210229,-1
n_id108,0.4825097229241524,0.7806019670938367,-1
n_id109,0.481520950978885,0.7766842718451513,-1
n_id110,0.4808178242622554,0.7731227345691795,-1
